,score,avg_moves,num_positivs,reward
0,420,67,1,4595.0
1,1420,115,1,17905.0
2,540,73,1,6911.0
3,1000,86,1,11400.0
4,480,69,1,5964.0
5,800,88,1,10323.0
6,1680,129,1,21644.0
7,1020,98,1,13354.0
8,120,49,1,-886.0
9,700,72,1,7361.0
10,620,79,1,7810.0
11,620,76,1,7842.0
12,900,93,1,11216.0
13,980,100,1,13220.0
14,840,81,1,9126.0
15,680,77,1,7061.0
16,720,84,1,8725.0
17,1220,104,1,15877.0
18,460,69,1,5135.0
19,800,89,1,9616.0
20,780,86,1,9067.0
21,400,66,1,4672.0
22,500,70,1,6143.0
23,720,75,1,7308.0
24,640,77,1,7525.0
25,840,89,1,10093.0
26,940,88,1,11517.0
27,400,64,1,3703.0
28,840,94,1,11518.0
29,580,75,1,7085.0
30,660,79,1,8005.0
31,280,58,1,2633.0
32,360,65,1,4235.0
33,680,81,1,7678.0
34,600,78,1,8257.0
35,1060,92,1,12176.0
36,1140,100,1,14320.0
37,580,67,1,6258.0
38,640,80,1,7841.0
39,860,95,1,11927.0
40,260,54,1,1914.0
41,800,87,1,9771.0
42,780,74,1,7532.0
43,1580,122,1,20066.0
44,360,66,1,4003.0
45,180,42,1,1650.0
46,500,71,1,5356.0
47,1420,116,1,18712.0
48,1520,70,1,6398.0
49,900,73,1,8509.0
50,420,66,1,4391.0
51,560,74,1,6446.0
52,1640,122,1,18925.0
53,760,86,1,9153.0
54,200,55,1,1284.0
55,220,53,1,822.0
56,620,78,1,7315.0
57,820,89,1,10235.0
58,1440,123,1,17334.0
59,900,83,1,9973.0
60,540,75,1,6240.0
61,740,84,1,9310.0
62,760,87,1,9596.0
63,440,69,1,5204.0
64,640,80,1,8683.0
65,880,93,1,11542.0
66,440,68,1,5156.0
67,500,73,1,6043.0
68,700,85,1,9683.0
69,680,83,1,8660.0
70,1180,98,1,13940.0
71,420,64,1,4785.0
72,600,74,1,7618.0
73,960,95,1,12243.0
74,640,76,1,8016.0
75,1020,90,1,11870.0
76,660,78,1,7392.0
77,280,54,1,2933.0
78,500,71,1,6220.0
79,620,78,1,7540.0
80,680,82,1,8883.0
81,500,69,1,4525.0
82,1140,106,1,14651.0
83,400,64,1,5226.0
84,420,66,1,4311.0
85,1040,104,1,14403.0
86,1220,109,1,15815.0
87,840,87,1,9426.0
88,820,90,1,10082.0
89,580,74,1,7088.0
90,560,73,1,5512.0
91,480,70,1,4889.0
92,840,91,1,10862.0
93,440,69,1,5580.0
94,600,75,1,6355.0
95,700,71,1,6554.0
96,560,73,1,5897.0
97,400,68,1,4260.0
98,680,72,1,7386.0
