,score,avg_moves,num_positivs,reward
0,580,77,1,7083.0
1,680,80,1,8167.0
2,40,33,1,-1573.0
3,320,60,1,3214.0
4,500,72,1,6302.0
5,680,82,1,9501.0
6,400,64,1,3989.0
7,1040,101,1,13278.0
8,320,60,1,2780.0
9,720,84,1,9029.0
10,660,78,1,8011.0
11,320,60,1,3251.0
12,1220,110,1,15724.0
13,1060,88,1,13436.0
14,800,83,1,8757.0
15,520,72,1,6648.0
16,560,73,1,5497.0
17,580,67,1,8177.0
18,380,53,1,1611.0
19,800,86,1,8558.0
20,500,68,1,5712.0
21,620,79,1,6777.0
22,800,87,1,8823.0
23,1200,109,1,15684.0
24,280,56,1,1559.0
25,580,75,1,7071.0
26,880,89,1,10862.0
27,840,92,1,11488.0
28,760,87,1,10487.0
29,440,67,1,4460.0
30,760,84,1,10151.0
31,920,93,1,12620.0
32,700,83,1,7905.0
33,320,60,1,2765.0
34,580,74,1,6805.0
35,320,56,1,3839.0
36,260,50,1,1759.0
37,1800,113,1,22025.0
38,480,58,1,5098.0
39,840,89,1,10543.0
40,840,86,1,10038.0
41,620,78,1,7137.0
42,1620,103,1,17723.0
43,900,95,1,12237.0
44,620,78,1,7887.0
45,2020,145,1,24938.0
46,720,81,1,9189.0
47,1780,80,1,9162.0
48,880,93,1,11589.0
49,500,69,1,5587.0
50,640,81,1,8456.0
51,1080,95,1,12667.0
52,1360,113,1,18863.0
53,960,98,1,12428.0
54,720,73,1,7130.0
55,800,84,1,10909.0
56,740,84,1,8577.0
57,640,79,1,7600.0
58,1020,90,1,10892.0
59,2160,111,1,16201.0
60,1040,103,1,14214.0
61,400,65,1,3409.0
62,1100,107,1,14300.0
63,740,80,1,8924.0
64,860,83,1,9283.0
65,400,63,1,3786.0
66,800,87,1,10169.0
67,980,98,1,12839.0
68,480,69,1,4508.0
69,560,71,1,4791.0
70,1000,99,1,12256.0
71,1260,107,1,15584.0
72,420,59,1,4810.0
73,940,84,1,10342.0
74,640,78,1,7811.0
75,620,75,1,7777.0
76,420,62,1,4246.0
77,340,61,1,3297.0
78,300,60,1,3042.0
79,200,40,1,2185.0
80,900,94,1,12144.0
81,1140,90,1,12914.0
82,480,70,1,6009.0
83,600,78,1,8360.0
84,760,87,1,9821.0
85,1540,109,1,18083.0
86,440,69,1,5355.0
87,620,77,1,7012.0
88,240,55,1,1620.0
89,1320,99,1,15129.0
90,800,87,1,9521.0
91,2080,102,1,14541.0
92,800,89,1,10217.0
93,760,86,1,9429.0
94,520,74,1,6839.0
95,380,64,1,3857.0
96,920,79,1,10982.0
97,940,97,1,12237.0
98,1120,88,1,12499.0
99,740,85,1,10288.0
100,880,84,1,9918.0
101,1020,89,1,11955.0
102,1580,121,1,19209.0
103,560,75,1,6886.0
104,1040,90,1,11852.0
105,820,93,1,10606.0
106,500,69,1,5432.0
107,440,65,1,5647.0
108,640,75,1,7451.0
109,1720,82,1,8570.0
110,1160,98,1,13441.0
111,1080,100,1,13487.0
112,640,77,1,6864.0
113,580,70,1,5829.0
114,460,54,1,3653.0
115,1600,126,1,22081.0
116,980,97,1,12764.0
117,520,68,1,5849.0
118,720,82,1,8107.0
119,500,71,1,5918.0
120,980,87,1,11704.0
121,700,76,1,8563.0
122,1040,100,1,12900.0
123,540,70,1,5410.0
124,580,75,1,7394.0
125,620,74,1,7176.0
126,1000,82,1,11843.0
127,540,72,1,7323.0
128,600,75,1,7145.0
129,260,54,1,1515.0
130,360,65,1,4460.0
131,640,79,1,8062.0
132,1080,94,1,14103.0
133,920,93,1,11659.0
134,1540,129,1,20372.0
135,880,88,1,10735.0
136,1820,86,1,11309.0
137,800,78,1,9230.0
138,660,81,1,8926.0
139,260,53,1,2296.0
140,1160,111,1,16394.0
141,1700,81,1,7518.0
142,680,81,1,8681.0
143,1320,109,1,17377.0
144,840,90,1,11382.0
145,1040,91,1,12206.0
146,560,75,1,6400.0
147,600,77,1,7612.0
148,1360,122,1,19095.0
149,880,89,1,10069.0
150,760,76,1,8334.0
151,580,77,1,6726.0
152,820,92,1,11110.0
153,920,95,1,11285.0
154,920,94,1,11474.0
155,780,76,1,8036.0
156,740,78,1,8854.0
157,220,53,1,1115.0
158,1680,78,1,8016.0
159,440,63,1,5481.0
160,980,98,1,12590.0
161,1420,126,1,20061.0
162,600,75,1,7118.0
163,800,87,1,9542.0
164,380,64,1,3269.0
165,1980,96,1,12347.0
166,400,65,1,3158.0
167,860,79,1,9909.0
168,580,76,1,6606.0
169,140,46,1,-99.0
170,460,69,1,5524.0
171,300,56,1,2513.0
172,740,87,1,9772.0
173,680,84,1,8833.0
174,440,62,1,5125.0
175,380,50,1,4865.0
176,700,81,1,10059.0
177,440,64,1,3995.0
178,800,89,1,9719.0
179,720,83,1,8247.0
180,440,68,1,5173.0
181,420,67,1,3956.0
182,840,90,1,11687.0
183,960,93,1,10815.0
184,480,69,1,5418.0
185,1640,55,1,6718.0
186,1100,86,1,12201.0
187,400,66,1,4538.0
188,660,80,1,7077.0
189,460,68,1,5629.0
190,620,78,1,7492.0
191,500,71,1,5484.0
192,580,78,1,7502.0
193,440,67,1,4330.0
194,560,74,1,5820.0
195,780,86,1,9533.0
196,1060,96,1,13780.0
197,380,60,1,2820.0
198,820,90,1,10760.0
199,1220,108,1,15749.0
200,880,83,1,10453.0
201,820,79,1,9177.0
202,1340,118,1,18236.0
203,600,75,1,7252.0
204,1380,122,1,19486.0
205,440,68,1,5120.0
206,660,80,1,8351.0
207,1160,89,1,11975.0
208,600,80,1,8030.0
209,360,64,1,3056.0
210,560,74,1,6835.0
211,1480,107,1,17113.0
212,660,80,1,9257.0
213,820,89,1,9863.0
214,1080,106,1,13701.0
215,800,90,1,10509.0
216,780,79,1,9094.0
217,1620,73,1,7088.0
218,380,64,1,2984.0
219,700,77,1,7747.0
220,1980,95,1,12915.0
221,920,91,1,11034.0
222,760,81,1,8260.0
223,460,62,1,5965.0
224,540,72,1,6011.0
225,900,90,1,11134.0
226,520,70,1,4918.0
227,1700,78,1,9307.0
228,540,72,1,6543.0
229,1260,116,1,16753.0
230,2320,122,1,19822.0
231,520,71,1,5729.0
232,1860,89,1,11082.0
233,520,73,1,6014.0
234,740,81,1,7804.0
235,820,77,1,9044.0
236,580,74,1,7492.0
237,640,80,1,8149.0
238,540,75,1,5964.0
239,440,66,1,5015.0
240,680,80,1,7957.0
241,600,67,1,6915.0
242,740,86,1,8938.0
243,1120,107,1,14793.0
244,840,78,1,9016.0
245,500,64,1,5009.0
246,700,73,1,7711.0
247,800,77,1,8870.0
248,1320,119,1,18212.0
249,920,88,1,11433.0
250,1240,96,1,15011.0
251,1100,86,1,10545.0
252,540,74,1,6393.0
253,1340,117,1,17440.0
254,500,70,1,5001.0
255,960,88,1,10797.0
256,540,74,1,6567.0
257,1420,99,1,16264.0
258,480,72,1,6169.0
259,900,95,1,12389.0
260,380,63,1,4388.0
261,520,71,1,4772.0
262,820,81,1,9742.0
263,1320,117,1,17184.0
264,640,79,1,7856.0
265,580,74,1,6321.0
266,680,82,1,8643.0
267,620,68,1,6386.0
268,780,86,1,9608.0
269,820,89,1,10430.0
270,680,82,1,8930.0
271,1380,112,1,17255.0
272,540,73,1,6662.0
273,800,75,1,8647.0
274,1140,90,1,13073.0
275,1100,102,1,14580.0
276,1140,96,1,13261.0
277,0,30,0,-1711.0
278,320,58,1,3480.0
279,420,63,1,4578.0
280,700,72,1,7523.0
281,860,71,1,7406.0
282,360,60,1,3768.0
283,1000,91,1,12145.0
284,320,61,1,3446.0
285,520,69,1,6983.0
286,600,74,1,6693.0
287,440,71,1,5179.0
288,940,86,1,10582.0
289,640,79,1,8439.0
290,740,85,1,9917.0
291,700,79,1,7127.0
292,500,73,1,5936.0
293,1240,97,1,14589.0
294,900,94,1,11830.0
295,960,96,1,12468.0
296,280,62,1,2836.0
297,720,86,1,9801.0
298,660,83,1,8967.0
299,1160,95,1,13426.0
300,840,92,1,11108.0
301,580,73,1,7320.0
302,440,70,1,5245.0
303,840,90,1,10457.0
304,1000,90,1,12020.0
305,1140,108,1,14989.0
306,500,71,1,5650.0
307,680,76,1,7053.0
308,640,78,1,8556.0
309,920,83,1,10537.0
310,780,77,1,8846.0
311,1420,112,1,18184.0
312,420,66,1,4666.0
313,580,75,1,7450.0
314,760,85,1,9629.0
315,1660,79,1,7595.0
316,740,85,1,9664.0
317,620,69,1,6382.0
318,1060,91,1,12771.0
319,660,70,1,7075.0
320,460,68,1,5222.0
321,1140,96,1,13541.0
322,700,85,1,8956.0
323,560,74,1,6370.0
324,1160,98,1,14227.0
325,120,51,1,23.0
326,1520,72,1,6458.0
327,1420,112,1,17062.0
328,320,59,1,3588.0
329,540,68,1,5240.0
330,440,61,1,4198.0
331,500,70,1,5101.0
332,1080,92,1,12115.0
333,1780,126,1,21858.0
334,760,75,1,8652.0
335,540,63,1,5149.0
336,580,75,1,6729.0
337,1100,105,1,15320.0
338,820,90,1,10712.0
339,640,80,1,8055.0
340,2020,100,1,13735.0
341,780,89,1,9910.0
342,680,82,1,8152.0
343,480,70,1,5242.0
344,420,62,1,3795.0
345,880,82,1,10063.0
346,460,69,1,5397.0
347,520,71,1,6704.0
348,920,94,1,11240.0
349,420,66,1,4202.0
350,500,70,1,5424.0
351,680,74,1,9064.0
352,1600,76,1,7567.0
353,600,73,1,6556.0
354,340,60,1,3046.0
355,400,67,1,4025.0
356,540,71,1,6254.0
357,720,84,1,9712.0
358,780,84,1,10192.0
359,720,82,1,9409.0
360,680,79,1,7104.0
361,1220,101,1,14326.0
362,980,91,1,11694.0
363,1740,133,1,23388.0
364,740,86,1,9374.0
365,720,83,1,9410.0
366,1280,104,1,17170.0
367,960,70,1,9806.0
368,680,68,1,7729.0
369,720,81,1,9092.0
370,720,81,1,8093.0
371,520,69,1,5378.0
372,580,73,1,6254.0
373,320,55,1,3213.0
374,740,86,1,9964.0
375,1040,81,1,11199.0
376,900,96,1,11585.0
377,540,72,1,6294.0
378,520,70,1,4822.0
379,1160,111,1,15307.0
380,1200,102,1,14583.0
381,2120,105,1,14648.0
382,760,67,1,8621.0
383,680,77,1,7925.0
384,1500,129,1,20305.0
385,600,72,1,7314.0
386,980,97,1,12182.0
387,520,73,1,6909.0
388,440,69,1,5386.0
389,1740,119,1,21062.0
390,560,62,1,4864.0
391,1080,108,1,14632.0
392,320,61,1,2606.0
393,980,91,1,11429.0
394,820,91,1,11444.0
395,820,89,1,10069.0
396,720,79,1,8233.0
397,840,79,1,9876.0
398,1360,108,1,17683.0
399,140,47,1,-1259.0
400,700,82,1,7917.0
401,380,63,1,3179.0
402,1180,107,1,15728.0
403,780,84,1,9776.0
404,640,77,1,8046.0
405,500,69,1,5977.0
406,500,70,1,6001.0
407,280,43,1,3403.0
408,960,86,1,10140.0
409,1080,106,1,13883.0
410,1180,100,1,13280.0
411,1140,108,1,15994.0
412,1320,87,1,14337.0
413,980,100,1,13159.0
414,660,82,1,8769.0
415,920,84,1,11152.0
416,460,70,1,5535.0
417,840,92,1,11105.0
418,600,74,1,6903.0
419,820,91,1,10759.0
420,820,78,1,9944.0
421,720,72,1,7549.0
422,860,93,1,10349.0
423,880,94,1,11996.0
424,2320,110,1,17437.0
425,620,77,1,8064.0
426,680,70,1,6715.0
427,400,65,1,3782.0
428,760,87,1,9860.0
429,740,81,1,9227.0
430,240,54,1,1761.0
431,640,78,1,8710.0
432,660,79,1,8559.0
433,260,57,1,1688.0
434,660,76,1,8250.0
435,740,83,1,7495.0
436,740,73,1,8259.0
437,620,78,1,7999.0
438,780,83,1,9301.0
439,560,75,1,6824.0
440,500,70,1,4938.0
441,700,82,1,9202.0
442,460,66,1,4531.0
443,860,83,1,9143.0
444,780,87,1,10741.0
445,1900,89,1,12151.0
