,score,avg_moves,num_positivs,reward
0,80,37,1,-432.0
1,560,73,1,7073.0
2,240,52,1,1621.0
3,120,43,1,-601.0
4,220,52,1,1481.0
5,120,45,1,-337.0
6,320,58,1,2999.0
7,40,35,1,-1339.0
8,120,45,1,-157.0
9,120,45,1,-194.0
10,300,54,1,2218.0
11,260,48,1,741.0
12,160,45,1,283.0
13,80,38,1,-888.0
14,200,51,1,947.0
15,260,47,1,2667.0
16,240,49,1,1502.0
17,340,58,1,2707.0
18,500,64,1,5264.0
19,520,65,1,5455.0
20,240,49,1,1893.0
21,240,53,1,1338.0
22,160,49,1,78.0
23,340,51,1,2895.0
24,380,60,1,2899.0
25,240,54,1,1777.0
26,160,41,1,1261.0
27,240,48,1,1968.0
28,260,51,1,1597.0
29,160,48,1,848.0
30,240,53,1,1436.0
31,120,42,1,-798.0
32,380,59,1,3022.0
33,160,46,1,298.0
34,360,59,1,3343.0
35,440,64,1,4526.0
36,220,51,1,1522.0
37,80,40,1,-1035.0
38,200,45,1,1374.0
39,120,36,1,115.0
40,40,39,1,-1173.0
41,80,44,1,-1099.0
42,120,45,1,-1135.0
43,480,63,1,4004.0
44,260,49,1,1852.0
45,120,41,1,-757.0
46,120,39,1,267.0
47,80,41,1,-1029.0
48,420,58,1,3348.0
49,240,50,1,1986.0
50,460,63,1,4669.0
51,200,47,1,1862.0
52,240,48,1,1588.0
53,280,50,1,2950.0
54,280,52,1,2408.0
55,280,51,1,1521.0
56,440,61,1,5160.0
57,120,43,1,-31.0
58,520,63,1,5699.0
59,120,45,1,-191.0
60,220,37,1,761.0
61,160,47,1,304.0
62,160,48,1,472.0
63,160,47,1,537.0
64,200,44,1,876.0
65,120,43,1,126.0
66,120,39,1,-290.0
67,120,40,1,156.0
68,120,43,1,247.0
69,160,44,1,481.0
70,280,56,1,2350.0
71,40,38,1,-1116.0
72,160,48,1,-246.0
73,80,32,1,-87.0
74,0,40,0,-2476.0
75,160,48,1,809.0
76,160,47,1,526.0
77,80,37,1,-412.0
78,240,51,1,741.0
79,80,31,1,-55.0
80,160,43,1,737.0
81,80,43,1,-1014.0
82,340,57,1,2415.0
83,300,51,1,1872.0
84,120,41,1,-687.0
85,280,52,1,2320.0
86,440,61,1,3620.0
87,120,38,1,109.0
88,120,45,1,-485.0
89,360,55,1,3270.0
90,280,54,1,1940.0
91,120,42,1,-1131.0
92,300,58,1,2041.0
93,200,41,1,1369.0
94,160,40,1,1341.0
95,200,48,1,832.0
96,180,48,1,-54.0
97,200,50,1,1176.0
98,280,57,1,2265.0
99,160,46,1,994.0
100,320,59,1,2809.0
101,280,55,1,2210.0
102,80,40,1,-936.0
103,80,46,1,-333.0
104,320,56,1,2716.0
105,280,55,1,2301.0
106,200,49,1,1039.0
107,200,44,1,1336.0
108,80,39,1,-1176.0
109,160,44,1,712.0
110,200,51,1,452.0
111,160,45,1,534.0
112,40,41,1,-1997.0
113,340,53,1,3254.0
114,120,40,1,93.0
115,120,43,1,-295.0
116,300,48,1,1817.0
117,160,47,1,577.0
118,360,56,1,3046.0
119,40,40,1,-1029.0
120,160,45,1,757.0
121,160,48,1,323.0
122,240,52,1,1537.0
123,360,52,1,3374.0
124,200,52,1,910.0
125,200,52,1,1081.0
126,580,70,1,6055.0
127,320,49,1,3647.0
128,380,58,1,3945.0
129,180,40,1,1056.0
130,120,45,1,-345.0
131,240,52,1,1707.0
132,160,46,1,199.0
133,320,56,1,2108.0
134,280,51,1,2499.0
135,240,50,1,1498.0
136,120,42,1,-756.0
137,220,49,1,1393.0
138,240,50,1,1954.0
139,380,60,1,3552.0
140,120,39,1,-129.0
141,120,41,1,156.0
142,240,54,1,1776.0
143,120,45,1,-823.0
144,280,54,1,2008.0
145,160,49,1,-238.0
146,340,58,1,3132.0
147,200,52,1,1288.0
148,160,47,1,789.0
149,280,52,1,1580.0
150,120,42,1,-167.0
151,460,64,1,4475.0
152,120,42,1,407.0
153,80,34,1,-300.0
154,120,45,1,-119.0
155,220,50,1,724.0
156,160,44,1,222.0
157,240,51,1,1293.0
158,220,47,1,1166.0
159,200,51,1,834.0
160,200,51,1,1161.0
161,40,43,1,-1865.0
162,80,38,1,-752.0
163,220,41,1,1633.0
164,160,51,1,406.0
165,140,37,1,-674.0
166,80,43,1,-1140.0
167,180,49,1,168.0
168,320,50,1,3917.0
169,160,46,1,336.0
170,120,35,1,-41.0
171,440,65,1,5155.0
172,160,45,1,620.0
173,160,49,1,185.0
174,180,48,1,180.0
175,120,46,1,-217.0
176,80,37,1,-361.0
177,200,50,1,298.0
178,120,43,1,-324.0
179,200,50,1,672.0
180,480,63,1,4454.0
181,460,65,1,4808.0
182,160,45,1,517.0
183,40,24,1,-448.0
184,400,54,1,3347.0
185,300,58,1,2408.0
186,180,45,1,170.0
187,420,64,1,3603.0
188,240,49,1,1840.0
189,160,46,1,265.0
190,80,42,1,-886.0
191,300,58,1,2004.0
192,120,45,1,304.0
193,180,40,1,-272.0
194,200,48,1,864.0
195,280,53,1,2330.0
196,200,50,1,854.0
197,0,35,0,-2621.0
198,80,36,1,-555.0
199,200,50,1,817.0
200,260,46,1,1860.0
201,80,43,1,-1163.0
202,240,48,1,1615.0
203,80,43,1,-654.0
204,200,49,1,60.0
205,260,46,1,1116.0
206,200,47,1,853.0
207,260,53,1,1533.0
208,0,28,0,-1095.0
209,260,42,1,1540.0
210,360,60,1,3556.0
211,40,39,1,-1504.0
212,40,29,1,-889.0
213,320,57,1,3099.0
214,160,47,1,785.0
215,40,33,1,-1826.0
216,200,43,1,803.0
217,40,33,1,-967.0
218,200,42,1,1459.0
219,120,37,1,215.0
220,160,46,1,-149.0
221,320,56,1,3318.0
222,200,51,1,1046.0
223,240,49,1,1419.0
224,40,35,1,-2129.0
225,120,42,1,-288.0
226,80,39,1,-745.0
227,80,40,1,-666.0
228,300,54,1,2344.0
229,360,58,1,3308.0
230,200,51,1,1157.0
231,120,34,1,719.0
232,300,46,1,2820.0
233,160,41,1,938.0
234,200,46,1,1128.0
235,120,43,1,-131.0
236,340,57,1,2842.0
237,300,50,1,1899.0
238,560,73,1,7040.0
239,340,55,1,2713.0
