,score,avg_moves,num_positivs
0,300,39,1
1,0,23,0
2,40,34,1
3,0,37,0
4,220,44,1
5,120,41,1
6,80,31,1
7,0,23,0
8,0,26,0
9,40,39,1
10,40,36,1
11,0,24,0
12,0,26,0
13,300,22,1
14,40,36,1
15,0,23,0
16,0,30,0
17,320,50,1
18,0,28,0
19,0,28,0
20,0,26,0
21,0,27,0
22,0,34,0
23,140,29,1
24,260,50,1
25,0,34,0
26,100,42,1
27,40,36,1
28,0,28,0
29,300,47,1
30,80,33,1
31,0,29,0
32,0,27,0
33,0,23,0
34,40,28,1
35,0,24,0
36,40,37,1
37,0,25,0
38,40,36,1
39,0,29,0
40,280,45,1
41,0,30,0
42,240,47,1
43,0,21,0
44,140,40,1
45,0,17,0
46,0,28,0
47,0,24,0
48,0,31,0
49,0,26,0
50,0,24,0
51,0,27,0
52,0,34,0
53,40,36,1
54,0,20,0
55,280,39,1
56,140,44,1
57,0,28,0
58,0,20,0
59,0,24,0
60,280,36,1
61,40,37,1
62,0,35,0
63,80,35,1
64,100,36,1
65,0,22,0
66,40,40,1
67,220,39,1
68,0,25,0
69,200,44,1
70,0,23,0
71,1480,54,1
72,0,27,0
73,40,30,1
74,0,25,0
75,180,33,1
76,0,35,0
77,0,31,0
78,400,32,1
79,100,40,1
80,0,27,0
81,0,30,0
82,0,32,0
83,300,36,1
84,200,51,1
85,0,23,0
86,420,51,1
87,0,25,0
88,0,37,0
89,0,31,0
90,0,28,0
91,0,27,0
92,160,47,1
93,0,25,0
94,0,29,0
95,140,41,1
96,200,48,1
97,240,36,1
98,0,38,0
99,0,31,0
100,0,38,0
101,140,48,1
102,0,27,0
103,220,47,1
104,40,34,1
105,80,39,1
106,0,28,0
107,0,32,0
108,0,28,0
109,240,51,1
110,40,42,1
111,0,22,0
112,0,30,0
113,40,43,1
114,0,22,0
115,0,28,0
116,0,31,0
117,40,36,1
118,0,23,0
119,0,36,0
120,0,28,0
121,0,38,0
122,300,32,1
123,40,33,1
124,0,23,0
125,100,36,1
126,0,26,0
127,0,34,0
128,80,42,1
129,40,43,1
130,220,33,1
131,0,23,0
132,100,32,1
133,0,38,0
134,0,28,0
135,0,33,0
136,0,24,0
137,0,37,0
138,340,55,1
139,320,59,1
140,0,32,0
141,0,34,0
142,360,52,1
143,120,42,1
144,220,47,1
145,0,20,0
146,0,28,0
147,140,30,1
148,40,31,1
149,0,27,0
150,40,40,1
151,0,23,0
152,40,31,1
153,0,26,0
154,200,40,1
155,0,23,0
156,300,27,1
157,0,29,0
158,40,38,1
159,0,25,0
160,140,35,1
161,40,37,1
162,40,36,1
163,80,36,1
164,0,32,0
165,0,24,0
166,0,23,0
167,140,41,1
168,140,33,1
169,0,39,0
170,0,33,0
171,0,30,0
172,0,24,0
173,0,27,0
174,0,33,0
175,0,23,0
176,0,19,0
177,0,33,0
178,0,30,0
179,0,24,0
180,480,49,1
181,40,24,1
182,40,25,1
183,100,39,1
184,0,24,0
185,460,53,1
186,40,40,1
187,0,32,0
188,40,42,1
189,160,49,1
190,140,43,1
191,0,37,0
192,0,34,0
193,0,24,0
194,0,25,0
195,140,29,1
196,540,54,1
197,220,48,1
198,0,28,0
199,120,31,1
200,180,42,1
201,0,30,0
202,0,29,0
203,0,21,0
204,0,19,0
205,0,25,0
206,100,36,1
207,0,22,0
208,0,28,0
209,0,28,0
210,0,33,0
211,80,33,1
212,0,31,0
213,0,27,0
214,80,35,1
215,0,28,0
216,40,32,1
217,0,26,0
218,0,28,0
219,0,22,0
220,0,25,0
221,80,37,1
222,0,24,0
223,0,32,0
224,120,46,1
225,220,45,1
226,40,32,1
227,0,33,0
228,200,40,1
229,0,28,0
230,0,32,0
231,0,24,0
232,100,40,1
233,80,37,1
234,220,45,1
235,0,26,0
236,0,24,0
237,260,44,1
238,200,42,1
239,40,33,1
240,40,40,1
241,0,27,0
242,0,32,0
243,240,36,1
244,40,33,1
245,300,28,1
246,0,32,0
247,0,27,0
248,240,46,1
249,40,42,1
250,0,38,0
251,0,26,0
252,120,38,1
253,100,33,1
254,0,25,0
255,0,31,0
256,0,30,0
257,180,42,1
258,200,49,1
259,0,23,0
260,40,38,1
261,0,30,0
262,200,36,1
263,0,39,0
264,280,39,1
265,100,39,1
266,0,22,0
267,40,40,1
268,300,38,1
269,0,33,0
270,0,33,0
271,40,29,1
272,0,34,0
273,0,31,0
274,40,31,1
275,0,27,0
276,0,38,0
277,80,35,1
278,120,42,1
279,0,24,0
280,0,28,0
281,340,35,1
282,0,31,0
283,0,29,0
284,300,25,1
285,0,37,0
286,140,43,1
287,0,28,0
288,0,32,0
289,80,21,1
290,0,21,0
291,0,31,0
292,0,39,0
293,0,24,0
294,100,39,1
295,340,36,1
296,0,32,0
297,0,24,0
298,140,26,1
299,0,20,0
300,0,29,0
301,0,35,0
302,0,25,0
303,40,37,1
304,40,29,1
305,0,25,0
306,80,44,1
307,380,51,1
308,0,27,0
309,0,25,0
310,0,24,0
311,0,20,0
312,0,19,0
313,0,27,0
314,0,27,0
315,40,34,1
316,240,47,1
317,0,21,0
318,0,24,0
319,40,30,1
320,420,48,1
321,0,26,0
322,100,44,1
323,0,38,0
324,0,24,0
325,0,37,0
326,400,50,1
327,340,49,1
328,80,44,1
329,40,28,1
330,140,48,1
331,0,36,0
332,0,32,0
333,0,22,0
334,40,36,1
335,0,23,0
336,0,20,0
337,40,33,1
338,40,37,1
339,140,44,1
340,0,23,0
341,0,31,0
342,0,22,0
343,0,23,0
344,0,26,0
345,0,35,0
346,40,38,1
347,40,33,1
348,140,43,1
349,0,25,0
350,160,47,1
351,0,24,0
352,0,27,0
353,0,20,0
354,0,29,0
355,100,24,1
356,220,48,1
357,840,52,1
358,120,48,1
359,0,35,0
360,420,52,1
361,280,53,1
362,0,30,0
363,0,28,0
364,40,35,1
365,40,37,1
366,140,31,1
367,0,26,0
368,0,24,0
369,0,33,0
370,0,25,0
371,0,26,0
372,0,30,0
373,0,32,0
374,480,42,1
375,0,38,0
376,0,37,0
377,40,37,1
378,40,38,1
379,0,37,0
380,40,37,1
381,0,22,0
382,0,27,0
383,0,25,0
384,0,32,0
385,260,50,1
386,120,44,1
387,80,39,1
388,120,29,1
389,0,29,0
390,0,22,0
391,0,25,0
392,0,22,0
393,0,25,0
394,0,25,0
395,100,41,1
396,80,36,1
397,40,37,1
398,0,32,0
399,160,43,1
400,0,35,0
401,0,35,0
402,40,43,1
403,40,26,1
404,40,37,1
405,0,21,0
406,140,43,1
407,0,23,0
408,840,54,1
409,0,23,0
410,380,48,1
411,0,27,0
412,40,33,1
413,0,21,0
414,0,26,0
415,0,24,0
416,0,40,0
417,0,26,0
418,80,37,1
419,300,25,1
420,0,23,0
421,0,26,0
422,0,26,0
423,0,24,0
424,0,41,0
425,40,44,1
426,140,46,1
427,280,38,1
428,0,28,0
429,420,45,1
430,0,31,0
431,40,32,1
432,260,52,1
433,0,22,0
434,120,36,1
435,0,28,0
436,0,31,0
437,0,29,0
438,80,38,1
439,0,27,0
440,140,34,1
441,0,30,0
442,0,29,0
443,80,43,1
444,80,44,1
445,0,22,0
446,0,33,0
447,300,58,1
448,80,35,1
449,100,40,1
450,0,23,0
451,40,38,1
452,0,28,0
453,380,52,1
454,80,35,1
455,0,40,0
456,120,43,1
457,180,40,1
458,0,35,0
459,0,20,0
460,0,27,0
461,340,43,1
462,120,41,1
463,0,27,0
464,0,20,0
465,0,37,0
466,0,38,0
467,0,26,0
468,40,34,1
469,0,29,0
470,140,34,1
471,0,34,0
472,100,42,1
473,0,22,0
474,0,27,0
475,0,26,0
476,0,25,0
477,0,30,0
478,140,49,1
479,80,38,1
480,80,48,1
481,80,32,1
482,1240,33,1
483,80,39,1
484,0,32,0
485,0,26,0
486,0,25,0
487,0,42,0
488,0,27,0
489,0,29,0
490,460,48,1
491,0,24,0
492,0,26,0
493,300,41,1
494,300,20,1
495,0,34,0
496,220,49,1
497,0,30,0
498,460,63,1
499,0,23,0
500,0,36,0
501,0,32,0
502,0,21,0
503,80,32,1
504,40,34,1
505,0,26,0
506,0,36,0
507,0,27,0
508,0,35,0
509,0,34,0
510,0,33,0
511,40,34,1
512,80,40,1
513,0,29,0
514,140,26,1
515,100,31,1
516,280,53,1
517,260,42,1
518,340,47,1
519,40,34,1
520,40,38,1
521,0,25,0
522,0,36,0
523,0,32,0
524,140,36,1
525,100,25,1
526,0,28,0
527,0,37,0
528,140,41,1
529,100,31,1
530,200,44,1
531,0,25,0
532,0,29,0
533,380,47,1
534,100,38,1
535,0,31,0
536,0,25,0
537,0,19,0
538,200,33,1
539,200,44,1
540,0,29,0
541,0,24,0
542,140,42,1
543,40,42,1
544,0,33,0
545,140,47,1
546,80,36,1
547,0,19,0
548,0,37,0
549,180,45,1
550,120,37,1
551,180,35,1
552,160,34,1
553,0,38,0
554,400,46,1
555,0,29,0
556,0,38,0
557,0,25,0
558,0,28,0
559,0,27,0
560,0,26,0
561,940,57,1
562,0,39,0
563,480,52,1
564,0,32,0
565,0,31,0
566,40,42,1
567,40,32,1
568,0,28,0
569,100,24,1
570,40,30,1
571,0,27,0
572,280,52,1
573,0,31,0
574,300,22,1
575,40,36,1
576,0,27,0
577,0,25,0
578,220,45,1
579,40,42,1
580,0,25,0
581,80,28,1
582,0,24,0
583,0,26,0
584,40,33,1
585,100,29,1
586,140,50,1
587,40,36,1
588,0,27,0
589,120,32,1
590,0,29,0
591,40,36,1
592,180,37,1
593,0,35,0
594,280,58,1
595,0,31,0
596,0,27,0
597,80,41,1
598,0,27,0
599,80,45,1
600,160,42,1
601,380,52,1
602,140,40,1
603,0,36,0
604,0,33,0
605,0,24,0
606,500,63,1
607,0,22,0
608,100,39,1
609,0,29,0
610,0,29,0
611,0,34,0
612,0,34,0
613,220,50,1
614,0,27,0
615,0,26,0
616,100,23,1
617,520,53,1
618,0,28,0
619,0,32,0
620,200,28,1
621,0,24,0
622,380,36,1
623,0,29,0
624,0,19,0
625,0,21,0
626,40,35,1
627,40,28,1
628,0,27,0
629,0,29,0
630,0,27,0
631,0,21,0
632,0,34,0
633,0,37,0
634,400,48,1
635,280,52,1
636,0,24,0
637,0,27,0
638,140,40,1
639,0,36,0
640,0,28,0
641,0,31,0
642,0,27,0
643,240,43,1
644,140,43,1
645,100,33,1
646,40,36,1
647,0,32,0
648,200,50,1
649,0,24,0
650,300,23,1
651,0,37,0
652,140,43,1
653,0,26,0
654,0,25,0
655,0,37,0
656,0,23,0
657,200,48,1
658,560,69,1
659,0,22,0
660,0,29,0
661,240,49,1
662,0,36,0
663,0,32,0
664,0,29,0
665,100,37,1
666,0,33,0
667,0,23,0
668,0,28,0
669,0,34,0
670,0,23,0
671,0,26,0
672,0,32,0
673,100,42,1
674,240,44,1
675,40,41,1
676,0,25,0
677,0,32,0
678,0,25,0
679,40,34,1
680,100,34,1
681,0,27,0
682,140,41,1
683,280,45,1
684,0,18,0
685,0,29,0
686,0,24,0
687,0,26,0
688,0,23,0
689,0,24,0
690,0,20,0
691,40,34,1
692,40,41,1
693,200,34,1
694,500,45,1
695,40,42,1
696,0,23,0
697,200,46,1
698,100,21,1
699,140,41,1
700,100,26,1
701,460,53,1
702,0,33,0
703,0,24,0
704,0,29,0
705,80,37,1
706,0,36,0
707,0,20,0
708,80,34,1
709,0,26,0
710,0,25,0
711,0,26,0
712,0,29,0
713,0,27,0
714,0,27,0
715,140,42,1
716,180,43,1
717,0,24,0
718,0,33,0
719,0,37,0
720,80,38,1
721,40,34,1
722,0,29,0
723,0,25,0
724,0,33,0
725,40,33,1
726,0,30,0
727,0,24,0
728,0,25,0
729,120,31,1
730,0,24,0
731,0,29,0
732,440,58,1
733,0,36,0
734,100,31,1
735,0,20,0
736,280,42,1
737,0,28,0
738,120,45,1
739,440,49,1
740,0,40,0
741,40,33,1
742,340,46,1
743,0,38,0
744,0,37,0
745,0,30,0
746,0,34,0
747,0,26,0
748,80,34,1
749,0,39,0
750,0,23,0
751,140,44,1
752,0,24,0
753,140,46,1
754,280,56,1
755,180,40,1
756,0,35,0
757,0,32,0
758,100,35,1
759,140,44,1
760,0,30,0
761,0,25,0
762,0,25,0
763,0,32,0
764,0,26,0
765,120,42,1
766,0,36,0
767,40,42,1
768,0,33,0
769,100,29,1
770,160,47,1
771,0,31,0
772,220,44,1
773,80,37,1
774,0,25,0
775,0,27,0
